tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
"ztf",58288.29815969989,"534298155715015005",2,534298155715,20.525629,1,534,2.714376,14.201985,"","",14.2069,"",0.024389833,"","",0.0029,"",244.0009563,22.2680215,0.46333334,"",0,14.1915,0.0031,584120257,false,false,false,"","bulk_1.0.0",0,549298415715015000
"ztf",58291.2738194,"537273815715015004",2,537273815715,20.078938,1,537,2.740173,15.160001,"","",15.1921,"",0.03928764,"","",0.0061,"",244.0009464,22.2680213,0.48333332,"",0,15.1761,0.007,584120257,false,false,false,"","bulk_1.0.0",0,549298415715015000
"ztf",58294.3078240999,"540307825715015004",2,540307825715,19.773685,1,540,2.745158,15.812787,"","",15.8123,"",0.03070322,"","",0.0123,"",244.0009453,22.2680247,0.6166667,"",0,15.7901,0.0148,584120257,false,false,false,"","bulk_1.0.0",0,549298415715015000
"ztf",58297.29342589993,"543293425715015004",2,543293425715,19.413662,1,543,2.7574108,16.362946,"","",16.3635,"",0.042714395,"","",0.0232,"",244.0009429,22.2680098,0.50666666,"",0,16.3391,0.0285,584120257,false,false,false,"","bulk_1.0.0",0,549298415715015000
"ztf",58300.3336920999,"546333695715015002",2,546333695715,19.790426,1,546,2.779272,16.731495,"","",16.7243,"",0.038461745,"","",0.0274,"",244.0009368,22.2680212,0.6166667,"",0,16.6838,0.033,584120257,false,false,false,"","bulk_1.0.0",0,549298415715015000
"ztf",58303.29841439985,"549298415715015004",2,549298415715,20.38993,1,549,2.7422814,17.28621,"","",17.3012,"",0.043716617,"","",0.029,"",244.0009473,22.2680284,0.6433333,"",0,17.2764,0.0347,584120257,false,false,false,"","bulk_1.0.0",0,579163505715015000
"ztf",58306.18975690007,"552189755715015003",2,552189755715,20.236277,1,552,2.7794964,17.4399,"","",17.4456,"",0.049329694,"","",0.0339,"",244.000937,22.2680133,0.47666666,"",0,17.423,0.0408,584120257,false,false,false,"","bulk_1.0.0",0,567211575715015000
"ztf",58311.189652800094,"557189655715015005",2,557189655715,20.6354,1,557,2.76436,18.1036,"","",18.0626,"",0.074378,"","",0.0539,"",244.000939,22.2680332,0.606667,"t8_f5_c3","",18.0037,0.0626,"",false,false,false,"","bulk_1.0.0",0,567211575715015000
"ztf",58311.254201400094,"557254205715015005",1,557254205715,20.8661,1,557,1.1526,18.2044,17.562353,"",18.2803,"",0.131876,0.05190388,0.07300418,0.05,"",244.0009574,22.2680279,0.47,"t8_f5_c3","",18.2206,0.0576,"",false,true,false,"","bulk_1.0.0",0,567211575715015000
"ztf",58321.21157409996,"567211575715015005",2,567211575715,19.734411,1,567,3.111312,19.077051,"","",19.416,"",0.18287052,"","",0.2764,"",244.0008369,22.2679832,0.46333334,"t8_f5_c3",0,19.1665,0.2787,584120257,false,false,false,"","bulk_1.0.0",0,592161215715010000
"ztf",58330.294733799994,"576294735715015002",2,576294735715,19.6741,1,576,2.55535,19.8443,"","",19.5154,"",0.285877,"","",0.3826,"",244.0010005,22.2680548,0.5,"t8_f5_c3","",19.7842,0.6236,"",false,false,false,"","bulk_1.0.0",0,592161215715010000
"ztf",58333.16350689996,"579163505715015008",2,579163505715,20.329348,1,579,2.9226363,19.913385,"","",19.9734,"",0.19799982,"","",0.3362,"",244.0008971,22.267989,0.50666666,"t8_f5_c3",0,19.7165,0.334,584120257,false,false,false,"","bulk_1.0.0",0,592161215715010000
"ztf",58336.23521990003,"582235215715010012",1,582235215715,20.5284,-1,582,0.945691,20.0665,18.712158,"",19.6793,"",0.320281,100,0.0920015,0.1705,"",244.0010109,22.2678538,0.403333,"t8_f5_c3","",19.629,0.2027,"",false,true,false,"","bulk_1.0.0",0,592161215715010000
"ztf",58343.170347199775,"589170345715010011",1,589170345715,20.8045,-1,589,1.59131,19.9657,"","",19.6651,"",0.277956,"","",0.1641,"",244.0008317,22.2680698,0.393333,"t12_f5_c3","",19.7616,0.2236,"",false,false,true,"","bulk_1.0.0",0,592161215715010000
